Oraș,Cartier,Tip,Suprafață (mp),Nr. camere,Etaj,An construcție,Preț (EUR),Preț/mp (EUR)
Cluj-Napoca,Borhanci,Casă,178,5,,1961.0,375000,2107
București,Pipera,Apartament,61,4,3.0,1987.0,133000,2179
București,Băneasa,Casă,80,5,,1985.0,159000,1983
București,Aviației,Apartament,63,3,4.0,2019.0,172000,2725
București,Băneasa,Apartament,70,4,7.0,2012.0,186000,2659
București,Titan,Apartament,107,3,2.0,1999.0,145000,1352
Cluj-Napoca,Andrei Mureșanu,Apartament,44,3,9.0,2010.0,139000,3170
București,Ilfov / Voluntari,Apartament,48,2,8.0,2014.0,89000,1847
București,Pantelimon,Apartament,67,3,0.0,2006.0,81000,1208
Cluj-Napoca,Centru,Apartament,45,2,0.0,1977.0,118000,2628
București,Dorobanți,Casă,140,4,,1950.0,314000,2240
București,Ilfov / Voluntari,Apartament,68,2,8.0,2001.0,97000,1431
Cluj-Napoca,Mănăștur,Apartament,62,2,7.0,1970.0,104000,1673
București,Aviației,Apartament,59,3,10.0,1974.0,125000,2118
București,Dorobanți,Casă,124,6,,1982.0,286000,2307
Cluj-Napoca,Bună Ziua,Casă,84,4,,2024.0,229000,2724
București,Pantelimon,Apartament,43,2,6.0,1976.0,45000,1047
București,Floreasca,Apartament,80,2,2.0,1999.0,208000,2606
Cluj-Napoca,Florești,Apartament,99,3,7.0,2020.0,242000,2448
București,Militari,Apartament,80,3,10.0,2004.0,112000,1404
București,Victoriei,Apartament,69,2,,2011.0,198000,2866
Cluj-Napoca,Borhanci,Casă,166,4,,1984.0,361000,2177
Cluj-Napoca,Centru,Apartament,59,3,4.0,1999.0,188000,3181
Cluj-Napoca,Zorilor,Apartament,64,3,2.0,1970.0,155000,2429
București,Floreasca,Apartament,34,3,9.0,2023.0,101000,2963
București,Victoriei,Apartament,40,2,10.0,1996.0,72000,1794
Cluj-Napoca,Borhanci,Casă,133,4,,1982.0,289000,2171
București,Floreasca,Casă,97,6,,2022.0,315000,3244
Cluj-Napoca,Gheorgheni,Apartament,61,2,10.0,2024.0,161000,2639
Cluj-Napoca,Florești,Apartament,73,3,2.0,1967.0,127000,1737
București,Titan,Apartament,89,3,0.0,2008.0,118000,1322
București,Băneasa,Casă,191,5,,1976.0,404000,2113
Cluj-Napoca,Bună Ziua,Apartament,85,1,4.0,1953.0,179000,2107
București,Titan,Apartament,76,1,8.0,2023.0,127000,1671
București,Victoriei,Apartament,83,3,4.0,2015.0,223000,2684
București,Titan,Apartament,74,2,0.0,1960.0,93000,1253
București,Dorobanți,Apartament,80,3,8.0,1976.0,188000,2356
București,Berceni,Apartament,77,3,3.0,1953.0,88000,1145
Cluj-Napoca,Bună Ziua,Casă,139,4,,2011.0,365000,2625
Cluj-Napoca,Andrei Mureșanu,Casă,120,6,,2017.0,423000,3528
București,Victoriei,Apartament,68,4,5.0,1986.0,131000,1927
Cluj-Napoca,Borhanci,Casă,119,4,,1969.0,257000,2162
București,Titan,Apartament,54,1,10.0,2018.0,78000,1447
București,Băneasa,Casă,197,5,,2023.0,619000,3144
București,Pantelimon,Casă,130,3,,1949.0,146000,1122
București,Berceni,Apartament,46,2,3.0,1972.0,61000,1332
București,Dorobanți,Apartament,76,1,1.0,1992.0,202000,2663
Cluj-Napoca,Zorilor,Casă,159,5,,1999.0,446000,2805
București,Floreasca,Casă,111,3,,1993.0,300000,2700
București,Floreasca,Apartament,81,3,6.0,1987.0,200000,2464
București,Drumul Taberei,Apartament,109,3,1.0,2008.0,176000,1618
București,Băneasa,Casă,199,5,,,410000,2062
București,Militari,Apartament,39,2,9.0,2010.0,57000,1463
București,Aviației,Apartament,53,4,8.0,1992.0,119000,2242
București,Berceni,Apartament,39,2,2.0,1988.0,162010,4154
București,Victoriei,Apartament,57,4,0.0,2019.0,125000,2199
București,Pantelimon,Apartament,67,2,10.0,1995.0,81000,1202
Cluj-Napoca,Centru,Apartament,43,2,10.0,2015.0,152000,3535
București,Floreasca,Apartament,56,1,9.0,,131000,2333
Cluj-Napoca,Gheorgheni,Apartament,28,2,2.0,1977.0,64000,2300
București,Băneasa,Casă,218,4,,2014.0,593000,2719
Cluj-Napoca,Zorilor,Casă,157,4,,2019.0,467000,2974
Cluj-Napoca,Zorilor,Casă,144,4,,1985.0,352000,2447
București,Pantelimon,Casă,139,3,,2018.0,204000,1471
București,Titan,Apartament,76,3,7.0,2018.0,130000,1710
Cluj-Napoca,Florești,Apartament,49,3,6.0,2020.0,112000,2281
Cluj-Napoca,Borhanci,Casă,123,5,,1968.0,265000,2158
București,Pipera,Apartament,70,2,8.0,1997.0,135000,1930
București,Dorobanți,Casă,80,4,,1969.0,179000,2243
Cluj-Napoca,Borhanci,Casă,138,3,,2016.0,383000,2775
București,Militari,Apartament,92,3,4.0,1988.0,110000,1191
București,Drumul Taberei,Apartament,77,2,3.0,1974.0,121000,1571
Cluj-Napoca,Dâmbul Rotund,Apartament,28,2,10.0,2011.0,53000,1898
Cluj-Napoca,Dâmbul Rotund,Apartament,91,2,2.0,2002.0,173000,1899
Cluj-Napoca,Florești,Apartament,58,3,5.0,1967.0,91000,1573
București,Pipera,Apartament,101,3,2.0,,236000,2337
Cluj-Napoca,Dâmbul Rotund,Apartament,102,2,10.0,1980.0,154000,1505
București,Dorobanți,Casă,133,4,,2011.0,387000,2907
București,Drumul Taberei,Apartament,28,2,7.0,2002.0,38000,1342
Cluj-Napoca,Centru,Apartament,28,2,5.0,1995.0,88000,3125
Cluj-Napoca,Florești,Apartament,34,1,3.0,1961.0,61000,1791
Cluj-Napoca,Gheorgheni,Apartament,103,2,10.0,2013.0,286000,2774
București,Floreasca,Apartament,63,2,5.0,1930.0,133000,2105
București,Ilfov / Voluntari,Apartament,70,2,0.0,1938.0,88000,1253
București,Floreasca,Apartament,74,3,5.0,1973.0,158000,2140
Cluj-Napoca,Borhanci,Casă,96,4,,1987.0,224000,2332
București,Drumul Taberei,Apartament,61,2,4.0,1994.0,97000,1583
Cluj-Napoca,Centru,Apartament,72,3,0.0,,249000,3463
Cluj-Napoca,Borhanci,Casă,157,4,,1984.0,386000,2457
București,Dorobanți,Casă,140,3,,,460000,3283
Cluj-Napoca,Borhanci,Casă,131,6,,1988.0,344000,2628
București,Titan,Apartament,54,1,5.0,2009.0,78000,1439
București,Ilfov / Voluntari,Apartament,28,2,5.0,2017.0,50000,1785
București,Drumul Taberei,Apartament,103,1,0.0,2017.0,167000,1626
București,Dorobanți,Apartament,80,1,8.0,2018.0,227000,2841
București,Drumul Taberei,Apartament,37,1,5.0,1975.0,52000,1392
București,Dorobanți,Apartament,51,2,4.0,1986.0,279316,5477
București,Titan,Apartament,36,1,6.0,2008.0,47000,1309
Cluj-Napoca,Zorilor,Apartament,77,1,5.0,1981.0,579222,7522
București,Pantelimon,Casă,117,3,,1968.0,129000,1102
București,Pipera,Casă,95,6,,1993.0,208000,2186
Cluj-Napoca,Florești,Apartament,45,1,2.0,2012.0,108000,2401
Cluj-Napoca,Grigorescu,Apartament,104,2,0.0,1961.0,627685,6035
București,Pipera,Apartament,62,1,9.0,2022.0,170000,2748
Cluj-Napoca,Zorilor,Apartament,61,3,1.0,1988.0,167000,2731
București,Ilfov / Voluntari,Apartament,51,2,8.0,1970.0,68000,1331
Cluj-Napoca,Mănăștur,Apartament,100,1,6.0,2019.0,205000,2052
București,Băneasa,Casă,171,5,,2021.0,443000,2588
Cluj-Napoca,Florești,Apartament,77,1,9.0,2017.0,184000,2388
București,Drumul Taberei,Apartament,75,2,9.0,1965.0,101000,1343
Cluj-Napoca,Bună Ziua,Apartament,70,3,3.0,,167000,2385
Cluj-Napoca,Grigorescu,Apartament,47,3,3.0,2013.0,130000,2762
București,Floreasca,Casă,115,6,,1997.0,290000,2522
Cluj-Napoca,Centru,Apartament,70,3,3.0,1991.0,219000,3127
București,Drumul Taberei,Apartament,37,3,9.0,2021.0,60000,1629
Cluj-Napoca,Zorilor,Apartament,88,3,10.0,2022.0,282000,3208
Cluj-Napoca,Bună Ziua,Casă,205,3,,1990.0,469000,2287
București,Victoriei,Apartament,29,4,1.0,1983.0,52000,1783
București,Militari,Apartament,109,3,8.0,1963.0,135000,1238
București,Aviației,Apartament,109,2,0.0,1971.0,225000,2062
București,Militari,Apartament,82,3,10.0,2022.0,132000,1614
București,Băneasa,Casă,158,5,,1934.0,310000,1959
București,Aviației,Apartament,65,4,3.0,2024.0,176000,2703
Cluj-Napoca,Andrei Mureșanu,Casă,140,6,,1992.0,406000,2898
București,Floreasca,Apartament,28,3,3.0,1980.0,70000,2509
Cluj-Napoca,Centru,Apartament,28,4,3.0,1977.0,80000,2871
București,Berceni,Apartament,72,3,8.0,1936.0,82000,1140
Cluj-Napoca,Gheorgheni,Apartament,59,4,7.0,1984.0,132000,2235
Cluj-Napoca,Centru,Apartament,85,1,4.0,1979.0,260000,3062
București,Pipera,Casă,189,4,,2016.0,480000,2540
Cluj-Napoca,Andrei Mureșanu,Apartament,83,2,2.0,2010.0,279000,3365
București,Băneasa,Apartament,83,1,6.0,1949.0,170000,2043
București,Ilfov / Voluntari,Apartament,57,2,7.0,2021.0,102000,1794
București,Pipera,Apartament,53,1,,2023.0,141000,2657
Cluj-Napoca,Bună Ziua,Apartament,30,1,0.0,1975.0,57000,1903
București,Aviației,Apartament,76,2,5.0,2002.0,584963,7697
Cluj-Napoca,Borhanci,Casă,170,3,,1930.0,452000,2660
Cluj-Napoca,Andrei Mureșanu,Casă,152,4,,1973.0,436000,2866
București,Militari,Apartament,72,3,6.0,2003.0,98000,1365
București,Ilfov / Voluntari,Casă,189,5,,1960.0,271000,1433
București,Berceni,Apartament,67,4,1.0,2014.0,104000,1547
București,Berceni,Apartament,66,3,2.0,1973.0,83000,1260
Cluj-Napoca,Florești,Casă,221,4,,2023.0,503000,2274
Cluj-Napoca,Florești,Apartament,45,1,4.0,,87000,1928
București,Floreasca,Casă,80,5,,2023.0,207000,2582
București,Pantelimon,Casă,177,3,,2014.0,249000,1409
Cluj-Napoca,Bună Ziua,Apartament,79,1,6.0,1987.0,158000,2001
București,Dorobanți,Apartament,82,1,0.0,2021.0,213000,2596
București,Băneasa,Apartament,44,2,2.0,2020.0,125000,2840
București,Berceni,Apartament,62,1,7.0,1990.0,77000,1245
Cluj-Napoca,Dâmbul Rotund,Apartament,70,4,5.0,1992.0,113000,1608
București,Drumul Taberei,Apartament,104,2,5.0,1990.0,145000,1399
București,Băneasa,Casă,152,5,,1986.0,322000,2118
București,Băneasa,Apartament,53,3,0.0,1995.0,114000,2159
București,Dorobanți,Casă,209,4,,2012.0,673000,3221
Cluj-Napoca,Grigorescu,Apartament,56,3,1.0,2023.0,146000,2611
Cluj-Napoca,Florești,Apartament,59,1,7.0,1978.0,109000,1849
București,Dorobanți,Apartament,51,3,5.0,1969.0,116000,2268
București,Ilfov / Voluntari,Apartament,68,3,8.0,2020.0,120000,1770
București,Ilfov / Voluntari,Casă,135,4,,1970.0,194000,1438
București,Pipera,Apartament,87,3,3.0,1983.0,178000,2042
Cluj-Napoca,Centru,Apartament,48,3,2.0,1992.0,162000,3366
București,Berceni,Apartament,39,2,1.0,1991.0,47000,1209
București,Pipera,Apartament,72,3,8.0,2004.0,164000,2279
București,Băneasa,Apartament,62,3,10.0,2013.0,156000,2517
Cluj-Napoca,Zorilor,Casă,178,5,,1967.0,488000,2740
București,Titan,Apartament,68,2,1.0,1989.0,88000,1288
București,Berceni,Apartament,57,3,10.0,2010.0,90000,1587
Cluj-Napoca,Zorilor,Casă,232,4,,1974.0,569000,2452
București,Dorobanți,Apartament,51,3,6.0,2006.0,136000,2659
București,Pipera,Apartament,80,3,9.0,1970.0,151000,1884
Cluj-Napoca,Gheorgheni,Apartament,87,3,9.0,1943.0,179000,2058
Cluj-Napoca,Zorilor,Casă,186,6,,2016.0,607000,3263
Cluj-Napoca,Zorilor,Apartament,80,1,5.0,2007.0,205000,2562
Cluj-Napoca,Centru,Apartament,71,3,4.0,1999.0,203000,2859
București,Berceni,Apartament,45,2,2.0,2002.0,59000,1308
București,Pipera,Apartament,125,2,8.0,2018.0,299000,2393
București,Victoriei,Apartament,64,1,0.0,1966.0,121000,1893
Cluj-Napoca,Florești,Apartament,54,3,,2017.0,119000,2203
București,Floreasca,Apartament,57,3,7.0,1963.0,138000,2429
București,Băneasa,Casă,126,3,,2016.0,300000,2379
Cluj-Napoca,Grigorescu,Apartament,94,3,0.0,2012.0,228000,2421
București,Pipera,Apartament,115,2,5.0,2019.0,298000,2589
București,Pipera,Apartament,72,1,10.0,2018.0,186000,2587
Cluj-Napoca,Florești,Casă,172,5,,1971.0,298000,1733
Cluj-Napoca,Mănăștur,Apartament,31,3,0.0,1974.0,47000,1503
Cluj-Napoca,Andrei Mureșanu,Apartament,45,3,1.0,2008.0,126000,2790
București,Pipera,Casă,140,4,,2022.0,402000,2872
Cluj-Napoca,Centru,Apartament,124,2,3.0,2016.0,448000,3610
București,Victoriei,Apartament,46,3,3.0,2018.0,106000,2310
București,Floreasca,Casă,80,3,,1964.0,201000,2512
București,Berceni,Apartament,61,4,0.0,2010.0,94000,1536
Cluj-Napoca,Andrei Mureșanu,Casă,80,4,,2001.0,211000,2633
Cluj-Napoca,Florești,Casă,112,3,,2021.0,248000,2210
București,Dorobanți,Casă,174,3,,2002.0,406000,2331
Cluj-Napoca,Zorilor,Casă,198,4,,1962.0,528000,2666
Cluj-Napoca,Grigorescu,Apartament,99,1,1.0,2006.0,212000,2144
Cluj-Napoca,Borhanci,Casă,169,4,,1978.0,379000,2245
București,Floreasca,Casă,99,5,,2001.0,271000,2741
București,Victoriei,Apartament,57,3,0.0,2014.0,138000,2418
Cluj-Napoca,Dâmbul Rotund,Apartament,59,4,8.0,2015.0,104000,1757
București,Băneasa,Casă,125,3,,2023.0,372000,2972
București,Dorobanți,Casă,146,5,,1971.0,328000,2247
București,Berceni,Apartament,95,2,8.0,,134000,1413
București,Militari,Apartament,56,2,8.0,1981.0,71000,1266
București,Victoriei,Apartament,66,3,1.0,2016.0,177000,2678
București,Militari,Apartament,69,4,4.0,2011.0,110000,1598
Cluj-Napoca,Centru,Apartament,85,3,1.0,1986.0,226000,2660
Cluj-Napoca,Grigorescu,Apartament,73,1,5.0,2017.0,185000,2530
București,Floreasca,Apartament,84,2,5.0,1973.0,194000,2313
Cluj-Napoca,Grigorescu,Apartament,103,2,4.0,1974.0,211000,2049
Cluj-Napoca,Gheorgheni,Apartament,59,1,,1988.0,123000,2087
Cluj-Napoca,Centru,Apartament,64,2,5.0,2012.0,225000,3516
București,Titan,Apartament,76,1,0.0,1964.0,94000,1236
Cluj-Napoca,Andrei Mureșanu,Casă,158,6,,2003.0,415000,2628
București,Băneasa,Apartament,90,2,6.0,2017.0,254000,2823
București,Băneasa,Casă,115,4,,1949.0,230000,1997
București,Dorobanți,Apartament,66,2,8.0,2014.0,180000,2729
București,Drumul Taberei,Apartament,55,1,4.0,2018.0,87000,1589
București,Titan,Apartament,56,1,8.0,2016.0,94000,1674
București,Floreasca,Casă,140,3,,1971.0,300000,2141
Cluj-Napoca,Borhanci,Casă,126,5,,2018.0,384000,3045
București,Titan,Apartament,65,1,2.0,2022.0,105000,1614
Cluj-Napoca,Andrei Mureșanu,Apartament,52,2,,1972.0,138000,2648
București,Pipera,Apartament,104,3,9.0,2018.0,272000,2613
București,Berceni,Apartament,44,4,10.0,2022.0,65000,1480
București,Berceni,Apartament,68,4,10.0,2023.0,104000,1531
Cluj-Napoca,Grigorescu,Apartament,77,2,8.0,1977.0,149000,1936
București,Dorobanți,Apartament,55,3,9.0,2013.0,149000,2718
Cluj-Napoca,Andrei Mureșanu,Apartament,59,2,10.0,2006.0,161000,2728
Cluj-Napoca,Borhanci,Casă,106,3,,1990.0,244000,2302
București,Victoriei,Apartament,60,1,0.0,1960.0,103000,1719
București,Berceni,Apartament,68,4,9.0,2013.0,100000,1470
Cluj-Napoca,Florești,Casă,107,4,,,201000,1876
București,Victoriei,Apartament,63,2,0.0,2011.0,160000,2537
București,Dorobanți,Apartament,82,3,5.0,1984.0,179000,2178
București,Militari,Apartament,86,3,9.0,1986.0,107000,1240
Cluj-Napoca,Gheorgheni,Apartament,80,2,0.0,2008.0,553703,6921
București,Drumul Taberei,Apartament,61,4,3.0,2023.0,97000,1593
București,Dorobanți,Apartament,53,1,1.0,1961.0,138000,2598
București,Floreasca,Apartament,89,1,7.0,1987.0,198000,2226
București,Pipera,Casă,178,5,,2006.0,414000,2328
București,Floreasca,Casă,107,4,,1998.0,253000,2369
București,Victoriei,Apartament,44,3,3.0,1982.0,88000,2000
București,Pantelimon,Casă,81,6,,2022.0,127000,1569
Cluj-Napoca,Andrei Mureșanu,Casă,117,4,,1977.0,326000,2785
București,Ilfov / Voluntari,Casă,154,4,,1974.0,205000,1329
București,Floreasca,Apartament,65,3,4.0,1937.0,140000,2157
București,Victoriei,Apartament,93,2,5.0,1979.0,185000,1987
Cluj-Napoca,Borhanci,Casă,176,4,,1971.0,425000,2415
București,Militari,Apartament,83,2,1.0,2014.0,138000,1658
București,Aviației,Apartament,71,3,6.0,2022.0,216000,3048
Cluj-Napoca,Centru,Apartament,88,2,6.0,2011.0,323000,3669
Cluj-Napoca,Gheorgheni,Apartament,64,1,1.0,2003.0,144000,2246
București,Militari,Apartament,101,2,4.0,2009.0,154000,1523
Cluj-Napoca,Andrei Mureșanu,Casă,81,6,,2004.0,247000,3044
Cluj-Napoca,Florești,Casă,193,5,,2023.0,456000,2361
Cluj-Napoca,Grigorescu,Apartament,37,1,10.0,2024.0,92000,2478
București,Pipera,Casă,145,3,,1959.0,281000,1937
București,Pipera,Apartament,44,4,7.0,2010.0,113000,2571
București,Aviației,Apartament,58,3,8.0,2011.0,152000,2617
Cluj-Napoca,Bună Ziua,Apartament,87,4,4.0,1961.0,176000,2028
Cluj-Napoca,Zorilor,Casă,267,6,,2019.0,801000,3001
Cluj-Napoca,Borhanci,Casă,126,4,,2018.0,364000,2887
Cluj-Napoca,Zorilor,Casă,177,4,,2015.0,560000,3165
Cluj-Napoca,Centru,Apartament,70,3,2.0,1983.0,188000,2682
București,Dorobanți,Casă,158,4,,1977.0,331000,2097
Cluj-Napoca,Bună Ziua,Apartament,63,1,7.0,,141000,2243
București,Ilfov / Voluntari,Casă,134,6,,2013.0,258000,1922
București,Titan,Apartament,53,3,4.0,1987.0,69000,1306
Cluj-Napoca,Centru,Apartament,96,2,4.0,2022.0,351000,3654
București,Dorobanți,Apartament,41,3,1.0,2013.0,119000,2898
București,Aviației,Apartament,69,1,4.0,1960.0,181000,2622
București,Berceni,Apartament,58,3,9.0,1988.0,69000,1188
Cluj-Napoca,Borhanci,Casă,156,4,,2019.0,480000,3079
Cluj-Napoca,Zorilor,Casă,176,4,,2006.0,504000,2862
București,Victoriei,Apartament,77,2,1.0,2021.0,196000,2540
Cluj-Napoca,Centru,Apartament,80,2,0.0,2021.0,307000,3843
Cluj-Napoca,Gheorgheni,Apartament,37,1,7.0,2003.0,87000,2363
București,Aviației,Apartament,70,2,2.0,2001.0,179000,2552
Cluj-Napoca,Grigorescu,Apartament,78,3,6.0,,170000,2177
București,Floreasca,Apartament,58,2,1.0,1972.0,138000,2383
Cluj-Napoca,Gheorgheni,Apartament,80,3,,1987.0,160000,2004
București,Floreasca,Apartament,98,1,0.0,2023.0,243000,2478
Cluj-Napoca,Borhanci,Casă,147,6,,2007.0,372000,2530
București,Dorobanți,Casă,126,3,,2010.0,418000,3320
București,Ilfov / Voluntari,Apartament,47,1,0.0,1941.0,174539,3714
Cluj-Napoca,Zorilor,Casă,168,4,,1990.0,488000,2905
București,Pantelimon,Apartament,116,3,,1975.0,121000,1046
București,Drumul Taberei,Apartament,87,1,2.0,1977.0,119000,1373
București,Pipera,Apartament,62,2,3.0,2013.0,177000,2852
București,Titan,Apartament,76,1,10.0,2017.0,113000,1492
București,Floreasca,Casă,178,4,,1994.0,457000,2569
București,Băneasa,Apartament,34,2,6.0,2013.0,95000,2804
București,Aviației,Apartament,71,2,4.0,1985.0,163000,2300
Cluj-Napoca,Andrei Mureșanu,Apartament,82,2,3.0,1996.0,236000,2880
București,Aviației,Apartament,56,3,5.0,2003.0,135000,2404
București,Dorobanți,Apartament,77,3,9.0,2004.0,174000,2257
București,Floreasca,Casă,177,5,,1964.0,400000,2259
Cluj-Napoca,Dâmbul Rotund,Apartament,35,1,9.0,1988.0,52000,1474
